transaction_id,account_id,transaction_date,transaction_type,amount,merchant,city
77,725,11/25/2024,Withdrawal,163.67,Apple,Philadelphia
78,712,8/7/2024,Transfer,360.78,Target,Atlanta
79,985,1/11/2023,Deposit,96.47,Exxon,Charlotte
80,1159,1/11/2022,Transfer,44.58,Amazon,Charlotte
81,1107,5/16/2020,Deposit,362.09,Walmart,Houston
82,391,6/22/2021,Withdrawal,239.93,Amazon,Atlanta
83,1071,11/19/2021,Payment,258.87,Google,Atlanta
84,392,12/19/2021,Withdrawal,476.09,Starbucks,Chicago
85,718,7/21/2022,Transfer,299.96,Home Depot,Miami
86,385,11/1/2020,Transfer,560.34,Amazon,Charlotte
87,381,8/27/2023,Transfer,213.97,Shell,Miami
88,1101,1/22/2021,Payment,426.73,Costco,Detroit
89,1283,12/25/2021,Withdrawal,192.34,Apple,Miami
90,604,7/3/2022,Deposit,26.94,Shell,New York
91,934,7/2/2021,Withdrawal,324.81,Starbucks,Detroit
92,399,5/20/2021,Withdrawal,194.47,Starbucks,New York
93,100,1/22/2021,Payment,511.12,Starbucks,New York
94,383,10/19/2020,Withdrawal,284.58,Apple,Cleveland
95,707,6/27/2020,Transfer,342.77,Exxon,Chicago
96,1216,11/2/2021,Payment,35.26,Starbucks,Charlotte
97,1369,12/23/2023,Transfer,308.75,Shell,Houston
98,10,3/27/2024,Transfer,189.41,Costco,Miami
99,264,8/31/2024,Withdrawal,83.59,Google,Houston
100,1292,8/28/2023,Deposit,410.68,Starbucks,Atlanta
101,832,3/20/2020,Withdrawal,6.09,Apple,Miami
102,630,11/3/2022,Deposit,253.26,Exxon,Los Angeles
103,762,12/13/2022,Payment,107.87,Starbucks,Detroit
104,195,3/22/2021,Payment,241.03,Starbucks,New York
105,562,2/4/2022,Payment,158.05,Shell,Cleveland
106,1431,12/24/2022,Transfer,172.91,Google,New York
107,1320,10/27/2023,Transfer,208.66,Amazon,Chicago
108,97,5/17/2021,Payment,56.12,Costco,Houston
109,462,7/23/2021,Withdrawal,354.08,Apple,Atlanta
110,758,4/5/2020,Transfer,299.87,Home Depot,Miami
111,87,4/5/2024,Transfer,51.83,Walmart,Los Angeles
112,991,7/7/2023,Withdrawal,411.72,Apple,Miami
113,77,8/7/2021,Transfer,314.15,Exxon,Atlanta
114,1170,9/4/2020,Withdrawal,215.29,Google,Charlotte
115,661,5/6/2020,Deposit,13.18,Exxon,Los Angeles
116,1135,5/13/2021,Withdrawal,103.2,Apple,Philadelphia
117,765,2/15/2020,Deposit,83.09,Starbucks,Miami
118,678,9/8/2022,Transfer,226.99,Home Depot,Atlanta
119,1321,9/24/2020,Deposit,327.02,Target,Los Angeles
120,1450,7/21/2024,Withdrawal,91.49,Walmart,Chicago
121,791,4/14/2024,Deposit,200.88,Costco,Los Angeles
122,1358,4/3/2020,Payment,348.88,Amazon,Miami
123,583,1/5/2022,Withdrawal,106.46,Home Depot,Houston
124,671,9/1/2023,Withdrawal,283.64,Walmart,Detroit
125,538,9/3/2021,Deposit,515.68,Google,Charlotte
126,1186,3/11/2020,Transfer,310.43,Google,Houston
127,430,8/15/2021,Transfer,45.33,Amazon,Miami
128,1093,3/24/2021,Withdrawal,196.23,Exxon,New York
129,133,10/22/2023,Withdrawal,308.59,Starbucks,Los Angeles
130,189,9/11/2021,Deposit,274.97,Shell,Los Angeles
131,573,9/5/2021,Withdrawal,39.1,Home Depot,Houston
132,279,12/4/2023,Withdrawal,265.77,Costco,Atlanta
133,1454,3/31/2020,Transfer,168.15,Walmart,Houston
134,542,3/12/2024,Withdrawal,131.71,Shell,Los Angeles
135,1185,5/26/2022,Deposit,282.98,Amazon,Philadelphia
136,746,6/11/2021,Withdrawal,464.56,Target,Los Angeles
137,899,2/7/2023,Withdrawal,88.12,Starbucks,Detroit
138,453,2/13/2022,Withdrawal,267.9,Target,Charlotte
139,889,11/2/2021,Payment,187.91,Exxon,Philadelphia
140,851,2/3/2022,Withdrawal,291.49,Shell,Detroit
141,170,1/17/2023,Deposit,216.06,Target,Philadelphia
142,830,6/18/2024,Transfer,113.38,Shell,Los Angeles
143,698,7/19/2023,Transfer,107.56,Walmart,Cleveland
144,1081,6/24/2023,Payment,269.21,Target,New York
145,1264,12/26/2020,Deposit,219.54,Shell,Los Angeles
146,769,1/12/2021,Transfer,293.16,Home Depot,Charlotte
147,358,5/14/2023,Transfer,39.42,Apple,Atlanta
148,201,12/10/2020,Withdrawal,363.93,Costco,Miami
149,444,3/8/2022,Withdrawal,412.34,Exxon,New York
150,827,11/18/2024,Withdrawal,222.79,Google,Houston
151,1326,3/30/2021,Payment,299.08,Starbucks,Houston
152,1130,6/26/2022,Withdrawal,346.43,Target,New York
153,101,3/7/2020,Deposit,172.9,Google,Los Angeles
154,1121,9/13/2022,Payment,234.8,Costco,Detroit
155,938,4/30/2024,Transfer,272.8,Apple,Cleveland
156,29,9/5/2022,Transfer,121.5,Shell,Houston
157,665,2/12/2020,Deposit,220.6,Shell,Philadelphia
158,1462,8/16/2020,Deposit,102.92,Shell,Philadelphia
159,1403,1/7/2024,Transfer,106.27,Costco,Miami
160,73,8/21/2020,Deposit,419.72,Walmart,Miami
161,254,5/7/2023,Deposit,257.96,Exxon,Los Angeles
162,516,5/11/2021,Deposit,80.56,Walmart,Philadelphia
163,749,4/27/2022,Withdrawal,14.93,Amazon,Atlanta
164,1044,11/21/2022,Transfer,578.38,Home Depot,Detroit
165,535,7/11/2023,Deposit,94.76,Google,Miami
166,421,4/22/2020,Deposit,125.36,Walmart,Los Angeles
167,446,8/30/2022,Withdrawal,289.88,Apple,Miami
168,879,4/3/2021,Transfer,75.37,Amazon,Houston
169,136,7/23/2023,Payment,256.44,Shell,Miami
170,1325,3/15/2023,Transfer,204.25,Amazon,Atlanta
171,33,10/12/2023,Transfer,24.08,Exxon,New York
172,647,1/6/2020,Transfer,207.51,Apple,Chicago
173,278,9/25/2023,Withdrawal,248.93,Apple,Detroit
174,133,9/18/2022,Transfer,41.43,Target,Houston
175,750,5/8/2021,Payment,278.14,Walmart,Charlotte
176,126,2/5/2023,Deposit,304.55,Google,New York
177,345,11/30/2024,Transfer,46.6,Starbucks,Los Angeles
178,17,3/11/2020,Withdrawal,272.81,Home Depot,Cleveland
179,824,7/27/2022,Transfer,234.48,Starbucks,Chicago
180,562,9/25/2023,Transfer,148.45,Google,Charlotte
181,647,11/4/2021,Payment,161.12,Walmart,New York
182,630,1/28/2023,Payment,259.18,Walmart,Los Angeles
183,1402,9/12/2023,Withdrawal,111.41,Home Depot,Cleveland
184,818,11/22/2022,Withdrawal,286.75,Home Depot,Atlanta
185,60,5/22/2020,Withdrawal,79.7,Starbucks,Houston
186,467,6/21/2023,Withdrawal,90.65,Google,Houston
187,628,1/5/2022,Withdrawal,7.15,Walmart,Charlotte
188,391,12/26/2021,Deposit,57.98,Shell,Miami
189,936,7/13/2024,Deposit,222.67,Exxon,Los Angeles
190,685,8/30/2024,Withdrawal,93.34,Costco,Charlotte
191,1211,8/4/2020,Withdrawal,249.06,Google,Charlotte
192,498,3/9/2021,Deposit,187.27,Walmart,Philadelphia
193,600,4/13/2022,Payment,482.92,Google,Philadelphia
194,1385,10/18/2024,Deposit,291.1,Exxon,Charlotte
195,449,12/13/2022,Withdrawal,276.55,Home Depot,Houston
196,680,12/20/2021,Payment,99.06,Amazon,Charlotte
197,1205,7/30/2022,Withdrawal,115.35,Google,Miami
198,130,6/3/2024,Transfer,136.9,Amazon,Miami
199,149,6/25/2022,Payment,194.69,Google,Charlotte
200,1496,9/21/2022,Withdrawal,112.39,Home Depot,Cleveland
201,818,3/20/2023,Deposit,285.58,Starbucks,Detroit
202,948,2/24/2020,Withdrawal,141.59,Target,Chicago
203,500,3/20/2024,Deposit,367.3,Target,Atlanta
204,1379,1/11/2024,Payment,76.73,Starbucks,Los Angeles
205,1235,11/24/2022,Deposit,311.92,Target,Cleveland
206,658,5/10/2022,Payment,489.56,Costco,Miami
207,1054,10/3/2022,Withdrawal,465.22,Starbucks,Houston
208,577,2/16/2023,Deposit,71.07,Amazon,Houston
209,1048,5/5/2023,Payment,372.87,Starbucks,Charlotte
210,984,7/19/2021,Payment,133.23,Amazon,Philadelphia
211,723,2/9/2022,Payment,33.43,Home Depot,Miami
212,222,12/2/2024,Transfer,290.1,Home Depot,Houston
213,602,5/27/2022,Payment,265.63,Target,Cleveland
214,684,4/3/2022,Withdrawal,290.28,Starbucks,Charlotte
215,742,5/28/2021,Withdrawal,127.04,Starbucks,Houston
216,925,6/5/2024,Withdrawal,32.63,Costco,Miami
217,580,5/11/2022,Payment,71.17,Google,Los Angeles
218,401,2/25/2021,Withdrawal,70.77,Target,Los Angeles
219,901,5/31/2021,Payment,297.54,Shell,New York
220,512,9/5/2024,Payment,329.05,Starbucks,Los Angeles
221,88,3/8/2023,Payment,244.48,Shell,Miami
222,1489,12/5/2021,Transfer,229.4,Walmart,Philadelphia
223,50,7/31/2024,Deposit,453.97,Shell,Chicago
224,103,3/19/2022,Withdrawal,410.99,Exxon,Charlotte
225,368,7/9/2024,Transfer,341.59,Shell,Houston
226,936,2/13/2020,Withdrawal,373.38,Google,Houston
227,1292,5/7/2022,Transfer,252.42,Starbucks,New York
228,1421,3/11/2022,Deposit,271.75,Costco,Miami
229,1344,8/6/2020,Deposit,84.05,Amazon,Charlotte
230,1473,7/21/2021,Deposit,256.94,Apple,Philadelphia
231,1500,11/12/2024,Deposit,103.13,Amazon,Charlotte
232,898,6/26/2022,Payment,386.08,Home Depot,Chicago
233,909,9/14/2020,Withdrawal,293.75,Amazon,Charlotte
234,1264,3/16/2024,Withdrawal,135.8,Google,Charlotte
235,258,8/18/2022,Withdrawal,305.3,Google,Los Angeles
236,390,11/1/2023,Payment,368.28,Shell,Charlotte
237,1367,6/11/2022,Withdrawal,69.28,Home Depot,Cleveland
238,773,10/15/2020,Deposit,161.44,Costco,Atlanta
239,754,2/2/2024,Withdrawal,54.2,Google,New York
240,1411,8/29/2022,Withdrawal,194.05,Walmart,Los Angeles
241,394,4/12/2020,Transfer,400.21,Starbucks,Miami
242,683,3/14/2022,Payment,200.09,Costco,Los Angeles
243,270,3/18/2023,Deposit,287.1,Walmart,Los Angeles
244,149,1/12/2023,Deposit,118.15,Shell,Miami
245,1404,11/15/2022,Deposit,327.5,Starbucks,Atlanta
246,811,4/13/2023,Withdrawal,190.51,Home Depot,Los Angeles
247,28,10/24/2024,Deposit,314.41,Google,Detroit
248,1173,7/22/2024,Deposit,330.17,Amazon,Detroit
249,1444,12/16/2023,Transfer,41.81,Exxon,Charlotte
250,280,8/4/2024,Withdrawal,97.47,Google,Philadelphia
251,1206,10/1/2023,Transfer,138.21,Shell,Chicago
252,166,10/28/2020,Payment,466.29,Google,Charlotte
253,17,8/14/2023,Withdrawal,403.65,Shell,Charlotte
254,1174,3/4/2023,Transfer,215.02,Apple,Charlotte
255,339,12/14/2022,Payment,611,Target,New York
256,1069,2/25/2020,Transfer,3.36,Google,Atlanta
257,842,10/11/2022,Payment,164.64,Home Depot,Detroit
258,189,1/8/2021,Deposit,376.27,Costco,Miami
259,651,5/30/2024,Deposit,206.63,Google,Miami
260,1085,4/10/2022,Withdrawal,72.73,Costco,Cleveland
261,294,7/8/2022,Transfer,259.66,Walmart,Atlanta
262,1057,9/24/2023,Transfer,601.39,Amazon,Miami
263,1323,4/1/2021,Payment,74.64,Starbucks,Detroit
264,415,10/10/2023,Withdrawal,90.23,Apple,Philadelphia
265,803,5/11/2020,Deposit,38.66,Home Depot,Los Angeles
266,431,5/7/2021,Transfer,137.04,Shell,Houston
267,1124,4/26/2024,Payment,362.42,Exxon,Chicago
268,1047,4/19/2020,Deposit,435.14,Amazon,Miami
269,1444,8/4/2021,Deposit,10.18,Google,New York
270,1448,3/6/2022,Deposit,291.32,Amazon,Philadelphia
271,487,2/23/2023,Payment,316.05,Exxon,Detroit
272,89,8/12/2023,Payment,97.64,Amazon,Philadelphia
273,1233,4/17/2023,Deposit,311.28,Starbucks,Detroit
274,271,3/20/2022,Payment,256.39,Target,Atlanta
275,900,6/4/2022,Deposit,363.8,Walmart,Houston
276,1430,5/5/2023,Deposit,133.96,Exxon,Cleveland
277,278,2/11/2022,Deposit,243.68,Google,Cleveland
278,206,1/29/2023,Payment,322.14,Starbucks,Houston
279,913,7/25/2022,Withdrawal,357.03,Target,Philadelphia
280,328,7/26/2021,Withdrawal,320.95,Google,Chicago
281,858,4/21/2023,Payment,18.98,Google,Houston
282,877,3/19/2022,Transfer,414.06,Apple,Charlotte
283,862,5/28/2022,Payment,311.84,Target,Atlanta
284,336,10/29/2022,Transfer,202.83,Home Depot,Cleveland
285,606,2/16/2021,Deposit,205.4,Costco,Philadelphia
286,592,10/7/2024,Transfer,464.56,Google,Chicago
287,1062,4/9/2022,Deposit,306.85,Apple,Charlotte
288,1014,7/19/2021,Withdrawal,223.35,Shell,Chicago
289,1252,9/11/2024,Deposit,72.53,Amazon,Philadelphia
290,1158,4/13/2020,Transfer,165.99,Shell,New York
291,708,2/23/2023,Withdrawal,72.12,Amazon,Charlotte
292,978,4/18/2024,Withdrawal,62.65,Costco,Atlanta
293,1414,11/7/2021,Payment,233.57,Google,Charlotte
294,425,8/2/2022,Transfer,63.06,Shell,Los Angeles
295,587,9/26/2020,Transfer,105.65,Shell,Los Angeles
296,806,4/10/2021,Payment,153.6,Amazon,Houston
297,720,3/11/2022,Payment,18.95,Walmart,Miami
298,1451,2/15/2023,Withdrawal,352.81,Home Depot,Detroit
299,949,1/20/2023,Payment,182.87,Target,Chicago
300,655,6/23/2024,Withdrawal,144.56,Exxon,Cleveland
301,474,10/1/2022,Transfer,325.98,Costco,Miami
302,568,2/17/2024,Payment,465.4,Exxon,Los Angeles
303,1385,1/15/2023,Transfer,227,Google,Atlanta
304,211,8/21/2020,Withdrawal,292.92,Walmart,New York
305,1203,7/1/2022,Deposit,248.55,Walmart,Charlotte
306,1082,2/21/2023,Deposit,285.62,Home Depot,Houston
307,1097,5/11/2023,Transfer,119.08,Shell,Los Angeles
308,215,11/21/2022,Withdrawal,88.06,Costco,Detroit
309,900,12/22/2020,Withdrawal,41.98,Google,Atlanta
310,1097,1/26/2024,Deposit,218.04,Amazon,New York
311,467,8/21/2022,Withdrawal,296.79,Costco,Los Angeles
312,1295,4/23/2024,Withdrawal,294.86,Shell,New York
313,354,4/3/2020,Transfer,137.09,Target,Atlanta
314,1258,3/25/2024,Deposit,170.89,Walmart,Miami
315,1343,10/16/2024,Withdrawal,170.28,Target,Detroit
316,1043,12/2/2023,Transfer,124.42,Walmart,Cleveland
317,625,1/28/2023,Payment,89.11,Home Depot,Atlanta
318,372,8/31/2020,Deposit,170.79,Walmart,Cleveland
319,184,2/27/2020,Transfer,155.18,Starbucks,Los Angeles
320,1301,8/22/2022,Payment,192.88,Google,Miami
321,674,10/12/2023,Withdrawal,120.1,Target,Detroit
322,755,2/23/2024,Withdrawal,243.58,Costco,Charlotte
323,1169,11/15/2020,Payment,606.26,Apple,Cleveland
324,1105,11/8/2022,Transfer,317.46,Apple,Los Angeles
325,322,12/22/2020,Withdrawal,128.76,Shell,Atlanta
326,435,4/26/2020,Withdrawal,166.66,Costco,Miami
327,1067,3/5/2023,Transfer,182.94,Amazon,Cleveland
328,1337,10/22/2020,Transfer,217.37,Costco,Philadelphia
329,293,6/8/2021,Payment,199.24,Walmart,Cleveland
330,688,1/29/2023,Withdrawal,132.16,Target,Detroit
331,888,11/4/2023,Transfer,124.42,Apple,Detroit
332,69,3/24/2023,Deposit,296.79,Home Depot,Los Angeles
333,56,6/5/2024,Payment,160.63,Starbucks,Philadelphia
334,631,6/11/2024,Payment,285.8,Apple,New York
335,1228,2/2/2023,Payment,167.31,Home Depot,Detroit
336,420,7/23/2024,Payment,70.6,Apple,Miami
337,567,12/12/2024,Deposit,41.46,Apple,Los Angeles
338,550,3/29/2024,Payment,40.07,Home Depot,Detroit
339,243,2/25/2023,Payment,231.03,Home Depot,Atlanta
340,1225,2/4/2021,Transfer,54.88,Home Depot,Houston
341,748,5/14/2024,Withdrawal,125.12,Apple,New York
342,1498,1/8/2022,Payment,144.66,Walmart,Cleveland
343,527,6/12/2021,Transfer,163,Amazon,Houston
344,77,7/10/2021,Transfer,332.07,Home Depot,Miami
345,440,7/3/2021,Withdrawal,358.12,Exxon,Cleveland
346,1287,2/21/2023,Transfer,88.55,Target,New York
347,1209,12/25/2020,Transfer,197.12,Shell,Houston
348,1079,3/4/2020,Payment,136.78,Exxon,Atlanta
349,1332,2/3/2022,Payment,263.29,Google,Houston
350,516,2/12/2022,Transfer,187.53,Google,Detroit
351,1323,9/15/2021,Deposit,267.95,Target,Cleveland
352,1254,4/11/2020,Withdrawal,30,Costco,New York
353,1401,7/14/2021,Transfer,234.22,Target,Miami
354,1310,7/24/2023,Transfer,10.45,Apple,Philadelphia
355,1162,6/4/2023,Deposit,82.87,Google,New York
356,615,11/12/2022,Withdrawal,215.19,Amazon,Los Angeles
357,1031,4/23/2022,Transfer,92.68,Costco,Atlanta
358,676,9/16/2024,Transfer,128.13,Shell,Miami
359,1443,12/23/2022,Payment,26.45,Amazon,Los Angeles
360,1496,3/26/2023,Transfer,59.14,Google,Houston
361,420,12/23/2024,Deposit,74.77,Shell,Philadelphia
362,276,11/14/2023,Transfer,121.37,Apple,Los Angeles
363,608,3/18/2023,Withdrawal,245.99,Apple,Charlotte
364,571,4/18/2022,Withdrawal,493.95,Shell,Cleveland
365,90,10/18/2023,Deposit,105.78,Target,Atlanta
366,282,11/11/2021,Transfer,257.21,Target,Atlanta
367,1195,1/27/2024,Transfer,386.79,Amazon,Philadelphia
368,638,10/6/2021,Transfer,359.98,Exxon,Atlanta
369,811,2/2/2021,Transfer,82.2,Walmart,Cleveland
370,1379,2/8/2021,Transfer,330.97,Target,Los Angeles
371,1228,4/5/2022,Withdrawal,393.6,Shell,New York
372,1313,3/1/2023,Payment,429.64,Home Depot,Charlotte
373,868,5/5/2023,Withdrawal,435.28,Home Depot,Atlanta
374,462,10/8/2021,Payment,34.97,Exxon,Chicago
375,750,2/4/2020,Withdrawal,235.95,Costco,Los Angeles
376,1197,2/23/2021,Deposit,96.45,Exxon,Houston
377,301,1/11/2021,Transfer,4.05,Shell,Detroit
378,600,11/23/2023,Payment,271.79,Home Depot,Detroit
379,529,8/7/2020,Withdrawal,230.16,Amazon,Charlotte
380,140,11/27/2021,Payment,225.63,Amazon,Detroit
381,278,3/20/2024,Transfer,128.77,Exxon,Atlanta
382,663,5/25/2024,Deposit,567.36,Shell,Charlotte
383,511,12/7/2020,Transfer,426.33,Walmart,Houston
384,1370,1/22/2022,Withdrawal,137.21,Costco,New York
385,1164,2/19/2021,Withdrawal,196.47,Home Depot,New York
386,114,1/19/2024,Payment,274.29,Shell,Los Angeles
387,580,8/13/2023,Deposit,354.1,Costco,Houston
388,1390,7/26/2022,Deposit,272.33,Amazon,Detroit
389,691,9/16/2023,Withdrawal,217.21,Target,Chicago
390,637,9/24/2024,Payment,12.62,Home Depot,Cleveland
391,1421,10/3/2022,Transfer,494.44,Walmart,Philadelphia
392,823,11/10/2021,Transfer,105.33,Google,Houston
393,875,9/24/2023,Withdrawal,359.19,Home Depot,Atlanta
394,940,1/17/2022,Withdrawal,204.71,Starbucks,Miami
395,942,3/16/2022,Transfer,387.52,Walmart,Houston
396,1135,8/14/2023,Transfer,4.85,Walmart,Miami
397,358,11/18/2024,Transfer,104.71,Google,Atlanta
398,1262,8/27/2024,Payment,178.96,Costco,Los Angeles
399,3,11/7/2020,Deposit,62.49,Google,Charlotte
400,404,5/25/2024,Withdrawal,119.49,Starbucks,Atlanta
401,25,11/1/2024,Withdrawal,393.67,Costco,Atlanta
402,509,2/24/2020,Payment,282.88,Walmart,Detroit
403,696,11/24/2021,Transfer,417.15,Google,Charlotte
404,1489,6/17/2021,Payment,209.81,Shell,Cleveland
405,61,12/23/2024,Transfer,176.18,Target,Charlotte
406,123,4/14/2020,Withdrawal,3.84,Starbucks,Los Angeles
407,55,4/13/2023,Deposit,357.15,Shell,Los Angeles
408,1187,10/20/2020,Payment,175.82,Costco,Miami
409,974,5/29/2022,Transfer,229.19,Apple,Houston
410,1063,7/4/2021,Withdrawal,116.1,Walmart,Atlanta
411,1107,6/29/2022,Deposit,626.88,Exxon,Los Angeles
412,546,1/9/2021,Payment,218.45,Costco,Miami
413,113,3/25/2021,Payment,92.76,Walmart,Charlotte
414,425,1/8/2024,Withdrawal,26.11,Home Depot,Houston
415,918,12/19/2022,Payment,279.25,Home Depot,Philadelphia
416,230,11/16/2023,Withdrawal,87,Amazon,Miami
417,1307,3/22/2022,Payment,132.32,Starbucks,Miami
418,917,1/24/2021,Deposit,29.18,Amazon,Philadelphia
419,1311,5/20/2023,Deposit,210.06,Amazon,Detroit
420,155,10/28/2021,Payment,208.44,Apple,Miami
421,165,9/4/2024,Withdrawal,478.69,Shell,Charlotte
422,962,4/7/2024,Transfer,119.62,Target,Atlanta
423,1206,6/17/2023,Payment,129.57,Shell,Atlanta
424,1263,2/20/2024,Transfer,166.65,Apple,Chicago
425,649,10/10/2024,Withdrawal,395.44,Home Depot,Philadelphia
426,1363,2/19/2023,Transfer,291.57,Exxon,Los Angeles
427,938,6/30/2023,Payment,362.94,Shell,Los Angeles
428,512,5/20/2020,Deposit,267.81,Amazon,Charlotte
429,932,1/15/2024,Withdrawal,134.18,Amazon,Miami
430,266,5/23/2022,Deposit,31.36,Shell,New York
431,187,3/22/2023,Deposit,52.6,Google,Chicago
432,1064,10/15/2024,Deposit,109.68,Costco,Charlotte
433,391,8/24/2023,Payment,295.1,Exxon,Charlotte
434,1284,5/2/2024,Withdrawal,187.93,Google,New York
435,655,9/2/2023,Transfer,69.89,Google,Cleveland
436,176,4/1/2024,Deposit,248.02,Costco,New York
437,774,8/12/2023,Transfer,383.4,Starbucks,New York
438,764,4/22/2022,Withdrawal,36.71,Costco,Miami
439,1353,9/30/2023,Withdrawal,282.46,Exxon,Houston
440,931,5/23/2024,Transfer,116.65,Target,Philadelphia
441,1224,8/19/2021,Transfer,68.64,Starbucks,Chicago
442,711,7/29/2023,Deposit,7.44,Shell,Detroit
443,1220,5/16/2023,Transfer,302.7,Target,Detroit
444,826,8/9/2022,Transfer,449.69,Target,Houston
445,589,7/5/2021,Payment,359.32,Exxon,Detroit
446,531,1/24/2023,Deposit,354.24,Apple,Houston
447,1086,1/15/2024,Deposit,60.29,Apple,Houston
448,1351,11/20/2024,Withdrawal,287.43,Exxon,Miami
449,281,1/7/2021,Transfer,235.93,Google,New York
450,227,10/9/2021,Payment,23.68,Apple,Charlotte
451,639,1/1/2023,Withdrawal,361.4,Amazon,Chicago
452,1082,12/13/2024,Payment,265.06,Apple,Los Angeles
453,921,8/31/2024,Deposit,167.18,Exxon,Houston
454,477,11/28/2020,Transfer,323.19,Costco,Cleveland
455,1400,1/27/2021,Payment,222.19,Google,Atlanta
456,716,9/29/2024,Withdrawal,380.18,Home Depot,Philadelphia
457,243,2/3/2023,Deposit,483.2,Target,Cleveland
458,367,1/29/2023,Payment,158.13,Exxon,Houston
