payment_id,loan_id,payment_date,payment_amount,payment_status
352,113,12/13/2022,179.86,On-Time
353,30,12/8/2023,719.36,Late
354,497,2/5/2024,673.83,Late
355,247,4/4/2024,401.87,On-Time
356,492,7/20/2020,648.88,On-Time
357,479,8/10/2020,478.72,On-Time
358,412,2/26/2023,858.33,On-Time
359,236,11/25/2020,361.65,On-Time
360,177,8/8/2024,702.7,On-Time
361,93,5/30/2022,773.07,On-Time
362,169,10/29/2024,269.43,Late
363,86,1/4/2024,378.12,On-Time
364,109,6/14/2022,444.82,On-Time
365,305,5/7/2020,275.64,On-Time
366,157,3/10/2023,792.97,On-Time
367,129,12/28/2024,683.61,On-Time
368,469,4/14/2021,727.69,Missed
369,287,8/4/2021,755.8,On-Time
370,283,6/9/2020,644.24,On-Time
371,291,1/12/2024,275.55,On-Time
372,8,5/29/2021,527.44,On-Time
373,40,11/13/2023,799.82,On-Time
374,442,5/31/2022,534.99,Late
375,200,6/7/2021,623.92,Late
376,134,8/5/2023,795.68,On-Time
377,143,2/21/2024,832.66,On-Time
378,277,11/16/2022,976.06,On-Time
379,421,1/3/2021,605.06,On-Time
380,198,11/2/2022,531.03,On-Time
381,310,10/21/2023,588.61,On-Time
382,413,5/2/2020,492.44,On-Time
383,442,12/15/2021,588.2,On-Time
384,345,7/1/2023,479.9,On-Time
385,471,12/15/2021,805.06,On-Time
386,230,11/6/2021,453.83,On-Time
387,91,10/16/2023,948.79,On-Time
388,106,4/24/2023,2.68,On-Time
389,87,11/15/2020,591.91,On-Time
390,275,12/28/2023,784.43,Late
391,92,9/25/2021,383.03,On-Time
392,256,9/10/2024,420.43,On-Time
393,34,10/5/2021,712.09,On-Time
394,58,8/16/2023,737.9,On-Time
395,199,6/13/2021,429.72,Late
396,243,11/7/2022,578.89,On-Time
397,397,2/8/2024,883.64,On-Time
398,260,10/26/2022,639.39,On-Time
399,395,4/25/2023,379.02,On-Time
400,178,9/22/2024,300.94,On-Time
401,21,2/12/2020,679.55,On-Time
402,60,6/27/2023,781.36,On-Time
403,405,5/5/2023,818.97,Late
404,171,10/4/2022,881.12,On-Time
405,45,5/11/2023,647.84,On-Time
406,42,2/15/2022,604.01,On-Time
407,410,12/7/2024,663.11,On-Time
408,415,7/7/2020,717.97,On-Time
409,177,4/26/2022,483.58,Late
410,383,4/17/2021,649.89,On-Time
411,196,9/29/2020,405.72,On-Time
412,3,11/20/2021,120.88,On-Time
413,295,8/6/2022,544.47,On-Time
414,48,1/18/2023,740.27,On-Time
415,149,9/26/2020,256.91,On-Time
416,230,7/4/2021,747.65,On-Time
417,18,2/17/2023,713.16,On-Time
418,481,7/20/2021,442.07,On-Time
419,243,6/17/2023,947.35,On-Time
420,106,7/12/2023,492.12,On-Time
421,163,4/29/2023,298.39,On-Time
422,32,7/30/2023,694.41,On-Time
423,122,11/5/2021,802.71,On-Time
424,439,5/8/2022,923.64,Late
425,395,11/15/2024,612.74,On-Time
426,103,4/8/2021,788.7,On-Time
427,186,4/7/2022,494.63,On-Time
428,223,10/15/2024,718.06,On-Time
429,350,3/8/2022,946.06,On-Time
430,422,1/18/2023,1080.6,Late
431,46,12/24/2020,475.9,On-Time
432,126,1/14/2021,893.35,Late
433,381,6/15/2020,412.51,On-Time
434,148,11/22/2021,477.48,On-Time
435,360,9/7/2021,514.4,Late
436,26,7/23/2021,781.24,On-Time
437,139,5/12/2023,622.8,On-Time
438,194,5/5/2020,312.19,Late
439,359,1/28/2024,697.71,On-Time
440,465,12/10/2020,868.77,On-Time
441,216,10/30/2021,628.9,On-Time
442,350,2/5/2022,778.47,On-Time
443,37,12/20/2023,447.16,On-Time
444,390,6/23/2021,793.87,On-Time
445,438,7/29/2020,459.11,On-Time
446,497,9/27/2022,624.49,On-Time
447,215,9/22/2020,426.9,On-Time
448,175,7/14/2023,365.54,On-Time
449,483,8/27/2022,393.49,On-Time
450,114,9/10/2020,515.47,Late
451,303,4/26/2023,630.01,On-Time
452,154,1/30/2020,440.43,On-Time
453,281,8/21/2023,1129.72,On-Time
454,420,8/24/2022,545.62,On-Time
455,277,1/16/2024,344.61,On-Time
456,490,9/19/2024,162.05,Late
457,442,12/24/2024,975.96,On-Time
458,299,2/26/2022,692.87,On-Time
459,279,11/29/2021,395.79,Late
460,65,7/26/2024,534.11,On-Time
461,443,1/30/2020,458.77,On-Time
462,317,6/9/2020,766.99,On-Time
463,330,7/31/2024,1009.57,On-Time
464,89,12/17/2023,423.17,On-Time
465,86,12/12/2020,747.24,On-Time
466,239,5/20/2024,606.37,Late
467,200,5/30/2023,500.51,On-Time
468,105,4/26/2023,537.16,On-Time
469,64,12/19/2023,380.11,On-Time
470,417,8/22/2022,661.22,On-Time
471,373,4/21/2024,672.77,On-Time
472,204,3/14/2024,723.54,On-Time
473,176,5/14/2023,640.58,On-Time
474,39,10/26/2023,401.45,On-Time
475,140,4/18/2021,732.78,Late
476,460,11/16/2023,431.28,On-Time
477,139,2/11/2024,586.4,On-Time
478,48,5/23/2021,405.9,On-Time
479,136,2/26/2020,794.33,On-Time
480,307,12/26/2022,459.3,On-Time
481,392,1/28/2020,1020.92,Late
482,101,10/15/2021,497.4,On-Time
483,241,8/1/2024,710.94,On-Time
484,208,8/19/2020,721.86,Missed
485,484,2/4/2023,340.13,Late
486,384,3/6/2023,208.1,On-Time
487,210,11/2/2023,397.93,On-Time
488,108,8/26/2024,638.09,Late
489,341,10/20/2021,408.26,On-Time
490,68,11/15/2023,436.46,Missed
491,370,12/13/2024,928.5,Missed
492,71,6/13/2022,490.66,Late
493,98,11/21/2021,780.05,Missed
494,482,6/10/2024,535.72,On-Time
495,109,3/16/2020,555.87,On-Time
496,164,3/30/2021,507.52,On-Time
497,357,12/10/2020,563.85,On-Time
498,286,8/12/2021,319.15,On-Time
499,90,5/12/2024,421.27,On-Time
500,396,10/24/2024,450.91,Late
501,75,12/15/2021,729.74,On-Time
502,29,4/3/2021,904.28,On-Time
503,3,6/21/2022,856.66,On-Time
504,318,10/18/2023,538.14,On-Time
505,11,7/27/2021,395.02,On-Time
506,73,5/22/2020,576.2,On-Time
507,218,8/1/2021,676.87,On-Time
508,118,7/19/2024,592.64,On-Time
509,187,3/31/2022,752.38,Late
510,256,7/25/2022,377.16,On-Time
511,72,3/14/2023,595.64,On-Time
512,213,1/3/2021,583.53,On-Time
513,72,12/22/2023,557.41,On-Time
514,298,8/24/2022,464.92,On-Time
515,390,12/15/2021,302,Late
516,311,9/9/2020,314.96,Late
517,466,8/17/2022,959.23,On-Time
518,262,9/13/2021,336.95,Late
519,277,3/17/2023,483.23,Late
520,428,2/24/2023,463.46,On-Time
521,496,6/15/2022,500.55,On-Time
522,248,12/17/2020,1028.36,On-Time
523,373,4/30/2020,689.58,On-Time
524,432,1/8/2021,494.57,Late
525,87,12/6/2020,587.76,On-Time
526,420,1/31/2020,752.11,Late
527,210,2/23/2022,837.76,On-Time
528,381,9/30/2023,685.97,On-Time
529,219,4/25/2024,965.24,Late
530,429,7/22/2020,440.2,Missed
531,131,10/27/2023,542.82,On-Time
532,443,2/15/2021,636.91,On-Time
533,250,7/14/2021,670.36,On-Time
534,268,8/24/2021,468.58,On-Time
535,84,6/5/2023,812.15,On-Time
536,19,4/2/2022,716.54,On-Time
537,23,6/22/2022,493.39,On-Time
538,380,11/21/2022,523.56,On-Time
539,389,11/21/2021,803.38,On-Time
540,51,12/11/2020,484.22,On-Time
541,403,5/5/2023,412.98,Missed
542,268,1/16/2022,361.98,On-Time
543,92,10/20/2020,212.22,On-Time
544,185,5/31/2024,515.17,On-Time
545,421,12/15/2024,87.47,On-Time
546,290,2/12/2022,454.34,On-Time
547,250,5/1/2020,1061.35,Missed
548,80,7/17/2024,442.17,Late
549,319,1/9/2021,748.43,On-Time
550,373,4/29/2024,641.26,On-Time
551,132,8/23/2022,885.97,On-Time
552,438,1/16/2020,453.19,On-Time
553,367,3/13/2021,609.14,On-Time
554,234,12/14/2020,546.71,On-Time
555,310,7/28/2020,615.06,On-Time
556,6,6/8/2020,374.97,On-Time
557,391,8/1/2023,470.35,Late
558,290,12/11/2022,324.56,On-Time
559,68,1/9/2023,369.2,Missed
560,399,5/29/2022,624.31,On-Time
561,13,1/15/2021,982.36,On-Time
562,201,10/7/2023,809.63,On-Time
563,293,8/1/2023,650.59,Late
564,465,5/10/2022,489.41,On-Time
565,422,2/22/2024,301.66,On-Time
566,206,1/21/2021,318.56,On-Time
567,229,12/29/2023,594.15,On-Time
568,415,5/22/2024,991.38,On-Time
569,450,12/3/2022,734.52,On-Time
570,366,3/3/2022,643.98,Late
571,467,3/10/2024,1053.02,On-Time
572,211,10/23/2021,622.53,Late
573,316,4/8/2023,707.58,On-Time
574,269,3/15/2020,1033.17,On-Time
575,405,10/28/2022,794.66,On-Time
576,95,2/7/2024,695.74,On-Time
577,172,4/10/2023,120.75,Missed
578,284,10/2/2022,890.3,On-Time
579,441,12/31/2023,337.78,On-Time
580,129,9/28/2021,254.87,On-Time
581,483,12/26/2021,657.43,On-Time
582,394,1/14/2024,716.8,On-Time
583,8,3/5/2022,389.94,On-Time
584,461,8/1/2024,296.06,On-Time
585,447,8/17/2024,156.78,On-Time
586,467,10/8/2021,495.15,On-Time
587,323,6/10/2022,537.18,On-Time
588,376,5/8/2022,318.28,On-Time
589,250,5/9/2021,1001.36,On-Time
590,67,1/22/2024,456.45,Late
591,411,7/3/2020,482.98,On-Time
592,274,12/29/2021,795.93,On-Time
593,35,4/5/2023,414.02,On-Time
594,381,8/23/2023,1001.61,On-Time
595,300,10/3/2020,796.74,On-Time
596,98,1/18/2023,530.88,On-Time
597,478,5/27/2023,889.01,On-Time
598,392,1/4/2024,890.61,On-Time
599,127,11/21/2021,512.89,On-Time
600,85,9/12/2021,404.74,Missed
601,430,7/10/2024,512.69,On-Time
602,211,12/13/2024,703.99,On-Time
603,43,2/1/2021,494.99,On-Time
604,240,2/3/2024,537.71,On-Time
605,302,12/4/2023,496.64,Late
606,40,7/6/2022,467.51,On-Time
607,222,6/29/2024,660.21,Late
608,312,10/10/2020,494.52,Missed
609,155,8/18/2020,900.42,On-Time
610,148,8/9/2024,591.49,On-Time
611,206,4/3/2022,386.76,On-Time
612,313,11/10/2022,612.71,On-Time
613,12,7/26/2022,740.05,On-Time
614,241,10/2/2020,576.31,On-Time
615,23,4/23/2021,444.24,On-Time
616,12,12/12/2020,395.57,Late
617,117,9/1/2022,660.29,On-Time
618,108,6/13/2022,678.7,On-Time
619,172,6/20/2020,809.41,On-Time
620,39,6/26/2021,394.5,On-Time
621,42,10/29/2022,617.55,Late
622,222,3/28/2022,430.61,On-Time
623,48,9/5/2022,631.81,On-Time
624,347,6/27/2021,314.95,On-Time
625,344,7/20/2020,846.82,On-Time
626,323,4/18/2023,188.18,On-Time
627,478,9/28/2024,399.27,On-Time
628,35,12/17/2021,633.49,On-Time
629,256,6/22/2021,414.32,On-Time
630,353,3/17/2024,420.41,On-Time
631,293,11/27/2024,732.6,On-Time
632,424,1/17/2021,28.91,On-Time
633,497,12/4/2024,224.66,On-Time
634,272,11/18/2023,368.3,On-Time
635,432,9/14/2022,366.08,On-Time
636,18,5/23/2024,758.15,On-Time
637,402,5/31/2022,688.64,On-Time
638,398,10/18/2022,624.81,On-Time
639,224,9/25/2024,846.87,On-Time
640,127,9/2/2020,22.3,Late
641,332,12/19/2023,611.47,Late
642,298,8/20/2023,953.88,On-Time
643,2,4/25/2020,664.31,On-Time
644,53,2/14/2023,393.14,Late
645,218,4/28/2022,727.66,On-Time
646,471,12/26/2023,602.48,On-Time
647,60,5/4/2020,616.04,On-Time
648,35,2/2/2020,421.03,On-Time
649,448,4/17/2021,899.49,On-Time
650,161,8/26/2021,892.08,On-Time
651,297,2/1/2022,565.52,Late
652,191,12/29/2023,511.83,Late
653,345,9/23/2024,773.84,On-Time
654,260,4/29/2022,370.65,On-Time
655,277,1/23/2020,432.56,On-Time
656,112,8/5/2022,735.58,Missed
657,132,9/21/2022,588.02,On-Time
658,95,1/10/2023,860.93,Late
659,312,7/21/2020,421.71,Late
660,241,7/8/2021,388.95,Late
661,463,2/4/2023,731.26,On-Time
662,260,1/2/2023,302.81,Late
663,132,10/11/2023,743.3,On-Time
664,236,7/19/2020,608.84,Late
665,259,10/17/2023,415.53,On-Time
666,244,5/31/2024,369.12,On-Time
667,55,2/3/2024,484.26,Late
668,197,1/19/2021,305.79,Late
669,83,6/30/2022,1014.98,On-Time
670,358,11/8/2022,589.37,On-Time
671,288,4/23/2022,649.27,On-Time
672,380,10/6/2021,330.93,Late
673,314,11/25/2021,417.64,On-Time
674,457,5/16/2024,761.1,On-Time
675,451,10/6/2021,370.05,On-Time
676,418,4/30/2020,483.97,On-Time
677,191,3/4/2023,658.6,Late
678,217,9/11/2020,511.04,On-Time
679,245,10/19/2023,466.71,Late
680,266,9/19/2023,338.39,On-Time
681,32,6/28/2021,766.52,Missed
682,261,1/6/2020,866.03,On-Time
683,157,6/5/2024,1004.99,On-Time
684,135,3/3/2023,544.54,Missed
685,399,5/5/2024,672.22,On-Time
686,258,8/9/2020,811.23,On-Time
687,266,7/15/2023,621.96,On-Time
688,395,5/31/2022,802.7,On-Time
689,53,12/15/2021,697.22,Missed
690,312,9/25/2021,736.23,On-Time
691,40,3/1/2023,427.28,Late
692,186,11/27/2024,234.38,Late
693,247,2/21/2020,741.52,On-Time
694,469,7/2/2023,589.36,On-Time
695,76,1/11/2022,593.48,On-Time
696,452,8/25/2023,236.66,On-Time
697,92,12/14/2020,868.76,On-Time
698,221,9/26/2020,518.24,On-Time
699,205,2/8/2021,153.26,On-Time
700,114,9/8/2021,996.87,On-Time
701,82,3/28/2023,570.85,On-Time
702,411,4/7/2023,706.7,On-Time
703,387,7/28/2024,1184.3,On-Time
704,227,5/15/2024,492.28,Late
705,423,7/18/2023,607.95,On-Time
706,22,9/9/2021,466.24,On-Time
707,209,12/5/2024,842.93,Missed
708,476,2/9/2024,334.51,On-Time
709,445,4/3/2022,871.07,On-Time
710,422,9/10/2022,784.25,Late
